AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob
42,Harirampur,Dakshin Dinajpur,GEN,All India Trinamool Congress,0.9852026
43,Habibpur,Maldah,ST,Bharatiya Janta Party,0.96778363
44,Gazole,Maldah,SC,Bharatiya Janta Party,0.92759037
45,Chanchal,Maldah,GEN,All India Trinamool Congress,0.99065053
46,Harischandrapur,Maldah,GEN,All India Trinamool Congress,0.9977585
47,Malatipur,Maldah,GEN,All India Trinamool Congress,0.9984865
48,Ratua,Maldah,GEN,All India Trinamool Congress,0.97181267
49,Manikchak,Maldah,GEN,All India Trinamool Congress,0.98544794
50,Maldaha,Maldah,SC,All India Trinamool Congress,0.8484458
51,Englishbazar,Maldah,GEN,Bharatiya Janta Party,0.9714065
52,Mothabari,Maldah,GEN,All India Trinamool Congress,0.9986651
53,Sujapur,Maldah,GEN,All India Trinamool Congress,0.9956756
54,Baisnabnagar,Maldah,GEN,All India Trinamool Congress,0.9580714
55,Farakka,Murshidabad,GEN,All India Trinamool Congress,0.9990275
56,Samserganj,Murshidabad,GEN,All India Trinamool Congress,0.99239457
57,Suti,Murshidabad,GEN,All India Trinamool Congress,0.99738866
58,Jangipur,Murshidabad,GEN,All India Trinamool Congress,0.9877621
59,Raghunathganj,Murshidabad,GEN,All India Trinamool Congress,0.991236
60,Sagardighi,Murshidabad,GEN,All India Trinamool Congress,0.9986847
61,Lalgola,Murshidabad,GEN,All India Trinamool Congress,0.99927896
62,Bhagabangola,Murshidabad,GEN,All India Trinamool Congress,0.98685026
63,Raninagar,Murshidabad,GEN,All India Trinamool Congress,0.9912866
64,Murshidabad,Murshidabad,GEN,Bharatiya Janta Party,0.90304065
65,Nabagram,Murshidabad,SC,All India Trinamool Congress,0.9836332
66,Khargram,Murshidabad,SC,All India Trinamool Congress,0.99537164
67,Burwan,Murshidabad,SC,All India Trinamool Congress,0.9378258
68,Kandi,Murshidabad,GEN,All India Trinamool Congress,0.99472964
69,Bharatpur,Murshidabad,GEN,All India Trinamool Congress,0.98969907
70,Rejinagar,Murshidabad,GEN,All India Trinamool Congress,0.9990299
71,Beldanga,Murshidabad,GEN,All India Trinamool Congress,0.9989808
72,Baharampur,Murshidabad,GEN,Bharatiya Janta Party,0.97233945
73,Hariharpara,Murshidabad,GEN,All India Trinamool Congress,0.9629862
74,Naoda,Murshidabad,GEN,All India Trinamool Congress,0.9946884
75,Domkal,Murshidabad,GEN,All India Trinamool Congress,0.9901642
76,Jalangi,Murshidabad,GEN,All India Trinamool Congress,0.994756
77,Karimpur,Nadia,GEN,All India Trinamool Congress,0.9493582
78,Tehatta,Nadia,GEN,All India Trinamool Congress,0.95322883
79,Palashipara,Nadia,GEN,All India Trinamool Congress,0.99315417
80,Kaliganj,Nadia,GEN,All India Trinamool Congress,0.99674773
81,Nakashipara,Nadia,GEN,All India Trinamool Congress,0.9915623
82,Chapra,Nadia,GEN,All India Trinamool Congress,0.9698636
83,Krishnanagar Uttar,Nadia,GEN,Bharatiya Janta Party,0.85907644
84,Nabadwip,Nadia,GEN,All India Trinamool Congress,0.9485386
85,Krishnanagar Dakshin,Nadia,GEN,All India Trinamool Congress,0.9402453
86,Santipur,Nadia,GEN,Bharatiya Janta Party,0.94688576
87,Ranaghat Uttar Paschim,Nadia,GEN,Bharatiya Janta Party,0.9563203
88,Krishnaganj,Nadia,SC,Bharatiya Janta Party,0.9821322
89,Ranaghat Uttar Purba,Nadia,SC,Bharatiya Janta Party,0.9130568
90,Ranaghat Dakshin,Nadia,SC,Bharatiya Janta Party,0.98706764
91,Chakdaha,Nadia,GEN,Bharatiya Janta Party,0.92923975
92,Kalyani,Nadia,SC,Bharatiya Janta Party,0.9962239
93,Haringhata,Nadia,SC,Bharatiya Janta Party,0.9745668
94,Bagda,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9977919
95,Bangaon Uttar,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9875693
96,Bangaon Dakshin,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9805043
97,Gaighata,North Twenty Four Parganas,SC,Bharatiya Janta Party,0.9833234
98,Swarupnagar,North Twenty Four Parganas,SC,All India Trinamool Congress,0.9752715
99,Baduria,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9961825
100,Habra,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98659337
101,Ashoknagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98741865
102,Amdanga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9883273
103,Bijpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9294251
104,Naihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.98447037
105,Bhatpara,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.83271694
106,Jagatdal,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9975089
107,Noapara,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9910671
108,Barrackpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9919171
109,Khardaha,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9990606
110,Dum Dum Uttar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9863794
