AC_Number,Constituency_Name,District,Margin_Pct,purge_squeeze,rgkar_squeeze,corruption_squeeze,sandeshkhali_squeeze,total_squeeze_pct
28,Chopra,Uttar Dinajpur,32.0,0.28,0.02,0.02,0.01,0.25
62,Bhagabangola,Murshidabad,47.6,0.35,0.02,0.02,0.01,0.25
30,Goalpokhar,Uttar Dinajpur,46.1,0.28,0.02,0.02,0.01,0.25
44,Gazole,Maldah,0.8,0.3,0.02,0.12,0.01,0.25
72,Baharampur,Murshidabad,13.8,0.35,0.02,0.02,0.01,0.25
73,Hariharpara,Murshidabad,6.5,0.35,0.02,0.02,0.01,0.25
43,Habibpur,Maldah,10.0,0.3,0.02,0.12,0.01,0.25
75,Domkal,Murshidabad,21.1,0.35,0.02,0.02,0.01,0.25
76,Jalangi,Murshidabad,36.1,0.35,0.02,0.02,0.01,0.25
58,Jangipur,Murshidabad,47.7,0.35,0.02,0.02,0.01,0.25
36,Itahar,Uttar Dinajpur,22.8,0.28,0.02,0.02,0.01,0.25
29,Islampur,Uttar Dinajpur,22.3,0.28,0.02,0.02,0.01,0.25
32,Karandighi,Uttar Dinajpur,17.4,0.28,0.02,0.02,0.01,0.25
68,Kandi,Murshidabad,20.8,0.35,0.02,0.02,0.01,0.25
51,Englishbazar,Maldah,9.5,0.3,0.02,0.12,0.01,0.25
125,Basirhat Uttar,North Twenty Four Parganas,37.8,0.05,0.05,0.04,0.08,0.22000000000000003
108,Barrackpur,North Twenty Four Parganas,6.3,0.05,0.05,0.04,0.08,0.22000000000000003
119,Barasat,North Twenty Four Parganas,10.7,0.05,0.05,0.04,0.08,0.22000000000000003
101,Ashoknagar,North Twenty Four Parganas,10.9,0.05,0.05,0.04,0.08,0.22000000000000003
124,Basirhat Dakshin,North Twenty Four Parganas,10.5,0.05,0.05,0.04,0.08,0.22000000000000003
104,Naihati,North Twenty Four Parganas,12.2,0.05,0.05,0.04,0.08,0.22000000000000003
122,Minakhan,North Twenty Four Parganas,26.8,0.05,0.05,0.04,0.08,0.22000000000000003
107,Noapara,North Twenty Four Parganas,14.1,0.05,0.05,0.04,0.08,0.22000000000000003
115,Rajarhat New Town,North Twenty Four Parganas,24.2,0.05,0.05,0.04,0.08,0.22000000000000003
117,Rajarhat  Gopalpur,North Twenty Four Parganas,14.3,0.05,0.05,0.04,0.08,0.22000000000000003
113,Baranagar,North Twenty Four Parganas,22.3,0.05,0.05,0.04,0.08,0.22000000000000003
105,Bhatpara,North Twenty Four Parganas,12.9,0.05,0.05,0.04,0.08,0.22000000000000003
116,Bidhannagar,North Twenty Four Parganas,5.0,0.05,0.05,0.04,0.08,0.22000000000000003
103,Bijpur,North Twenty Four Parganas,9.7,0.05,0.05,0.04,0.08,0.22000000000000003
99,Baduria,North Twenty Four Parganas,26.8,0.05,0.05,0.04,0.08,0.22000000000000003
109,Khardaha,North Twenty Four Parganas,15.6,0.05,0.05,0.04,0.08,0.22000000000000003
118,Madhyamgram,North Twenty Four Parganas,21.2,0.05,0.05,0.04,0.08,0.22000000000000003
110,Dum Dum Uttar,North Twenty Four Parganas,13.5,0.05,0.05,0.04,0.08,0.22000000000000003
100,Habra,North Twenty Four Parganas,1.9,0.05,0.05,0.04,0.08,0.22000000000000003
120,Deganga,North Twenty Four Parganas,15.3,0.05,0.05,0.04,0.08,0.22000000000000003
106,Jagatdal,North Twenty Four Parganas,10.3,0.05,0.05,0.04,0.08,0.22000000000000003
112,Kamarhati,North Twenty Four Parganas,24.8,0.05,0.05,0.04,0.08,0.22000000000000003
114,Dum Dum,North Twenty Four Parganas,14.6,0.05,0.05,0.04,0.08,0.22000000000000003
121,Haroa,North Twenty Four Parganas,36.1,0.05,0.05,0.04,0.08,0.22000000000000003
126,Hingalganj,North Twenty Four Parganas,12.9,0.05,0.05,0.04,0.08,0.22000000000000003
97,Gaighata,North Twenty Four Parganas,4.5,0.05,0.05,0.04,0.08,0.22000000000000003
98,Swarupnagar,North Twenty Four Parganas,16.5,0.05,0.05,0.04,0.08,0.22000000000000003
94,Bagda,North Twenty Four Parganas,4.5,0.05,0.05,0.04,0.08,0.22000000000000003
96,Bangaon Dakshin,North Twenty Four Parganas,1.0,0.05,0.05,0.04,0.08,0.22000000000000003
95,Bangaon Uttar,North Twenty Four Parganas,5.2,0.05,0.05,0.04,0.08,0.22000000000000003
102,Amdanga,North Twenty Four Parganas,12.2,0.05,0.05,0.04,0.08,0.22000000000000003
39,Balurghat,Dakshin Dinajpur,8.9,0.15,0.02,0.02,0.01,0.19999999999999998
40,Tapan,Dakshin Dinajpur,0.9,0.15,0.02,0.02,0.01,0.19999999999999998
42,Harirampur,Dakshin Dinajpur,12.2,0.15,0.02,0.02,0.01,0.19999999999999998
41,Gangarampur,Dakshin Dinajpur,2.4,0.15,0.02,0.02,0.01,0.19999999999999998
38,Kumarganj,Dakshin Dinajpur,17.3,0.15,0.02,0.02,0.01,0.19999999999999998
37,Kushmandi,Dakshin Dinajpur,6.9,0.15,0.02,0.02,0.01,0.19999999999999998
274,Galsi,Barddhaman,8.7,0.05,0.02,0.08,0.01,0.16000000000000003
277,Durgapur Paschim,Barddhaman,7.5,0.05,0.02,0.08,0.01,0.16000000000000003
281,Asansol Uttar,Barddhaman,11.1,0.05,0.02,0.08,0.01,0.16000000000000003
279,Jamuria,Barddhaman,4.9,0.05,0.02,0.08,0.01,0.16000000000000003
262,Jamalpur,Barddhaman,8.8,0.05,0.02,0.08,0.01,0.16000000000000003
264,Kalna,Barddhaman,3.6,0.05,0.02,0.08,0.01,0.16000000000000003
273,Ausgram,Barddhaman,5.5,0.05,0.02,0.08,0.01,0.16000000000000003
261,Raina,Barddhaman,8.0,0.05,0.02,0.08,0.01,0.16000000000000003
280,Asnsol Dakshin,Barddhaman,2.3,0.05,0.02,0.08,0.01,0.16000000000000003
269,Purbasthali Uttar,Barddhaman,3.2,0.05,0.02,0.08,0.01,0.16000000000000003
260,Burdwan Dakshin,Barddhaman,4.0,0.05,0.02,0.08,0.01,0.16000000000000003
283,Barabani,Barddhaman,14.1,0.05,0.02,0.08,0.01,0.16000000000000003
265,Memari,Barddhaman,10.6,0.05,0.02,0.08,0.01,0.16000000000000003
272,Mongalkote,Barddhaman,10.5,0.05,0.02,0.08,0.01,0.16000000000000003
267,Bhatar,Barddhaman,15.1,0.05,0.02,0.08,0.01,0.16000000000000003
282,Kulti,Barddhaman,0.4,0.05,0.02,0.08,0.01,0.16000000000000003
270,Katwa,Barddhaman,4.1,0.05,0.02,0.08,0.01,0.16000000000000003
271,Ketugram,Barddhaman,6.0,0.05,0.02,0.08,0.01,0.16000000000000003
