AC_Number,Constituency_Name,District,Type,Predicted_Winner,Predicted_Winner_Prob,P_All India Trinamool Congress,P_Bharatiya Janta Party,P_OTHER
47,Malatipur,Maldah,GEN,All India Trinamool Congress,0.8308358184949773,0.8308358184949773,0.13513506080438337,0.03402912070063929
50,Maldaha,Maldah,SC,Bharatiya Janta Party,0.731548515351069,0.25567825344007583,0.731548515351069,0.012773231208855164
243,Manbazar,Puruliya,ST,All India Trinamool Congress,0.705798712736349,0.705798712736349,0.2747208281794257,0.01948045908422525
135,Mandirbazar,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.8277776145122316,0.8277776145122316,0.13863708331505759,0.03358530217271084
272,Mongalkote,Barddhaman,GEN,All India Trinamool Congress,0.8303472575340813,0.8303472575340813,0.13568872426967288,0.033964018196245754
49,Manikchak,Maldah,GEN,All India Trinamool Congress,0.7069365476862888,0.7069365476862888,0.26395325778750645,0.029110194526204888
167,Maniktola,Kolkata,GEN,All India Trinamool Congress,0.7478797627254289,0.7478797627254289,0.20024828926619595,0.05187194800837518
2,Mathabhanga,Koch Bihar,SC,Bharatiya Janta Party,0.996005111727938,0.0034264516629639442,0.996005111727938,0.0005684366090979593
157,Metiaburuz,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.8160866269110505,0.8160866269110505,0.14732486670924366,0.03658850637970568
25,Matigara-Naxalbari,Darjiling,SC,Bharatiya Janta Party,0.9940317399480778,0.0033786871378450973,0.9940317399480778,0.002589572914077111
16,Maynaguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9906943897367271,0.0003023753335400122,0.9906943897367271,0.009003234929732835
290,Mayureswar,Birbhum,GEN,All India Trinamool Congress,0.7942545609875884,0.7942545609875884,0.18129035410372163,0.02445508490868993
236,Medinipur,Paschim Medinipur,GEN,All India Trinamool Congress,0.8424228031383405,0.8424228031383405,0.1294124772320946,0.028164719629564936
1,Mekliganj,Koch Bihar,SC,Bharatiya Janta Party,0.6200349938511832,0.3352340984224886,0.6200349938511832,0.04473090772632824
265,Memari,Barddhaman,GEN,All India Trinamool Congress,0.8298097224335207,0.8298097224335207,0.1361079717958168,0.03408230577066253
122,Minakhan,North Twenty Four Parganas,SC,All India Trinamool Congress,0.8461109577081029,0.8461109577081029,0.12364148861798357,0.030247553673913633
263,Monteswar,Barddhaman,GEN,All India Trinamool Congress,0.8318079253056637,0.8318079253056637,0.13430138355822632,0.03389069113610986
52,Mothabari,Maldah,GEN,All India Trinamool Congress,0.8318739090301731,0.8318739090301731,0.13501792357916026,0.03310816739066665
206,Moyna,Purba Medinipur,GEN,Bharatiya Janta Party,0.990268119068451,0.0072109006109931815,0.990268119068451,0.0025209803205558366
294,Murarai,Birbhum,GEN,All India Trinamool Congress,0.8641393051353705,0.8641393051353705,0.11095692622214019,0.024903768642489298
64,Murshidabad,Murshidabad,GEN,Bharatiya Janta Party,0.9886207843200664,0.008340911059038215,0.9886207843200664,0.003038304620895399
84,Nabadwip,Nadia,GEN,All India Trinamool Congress,0.4999670213691153,0.4999670213691153,0.48105189340210114,0.018981085228783393
65,Nabagram,Murshidabad,SC,All India Trinamool Congress,0.6990923848827614,0.6990923848827614,0.27517703980106545,0.025730575316173333
21,Nagrakata,Jalpaiguri,ST,Bharatiya Janta Party,0.9976927039133121,0.001013924045690062,0.9976927039133121,0.0012933720409979508
104,Naihati,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.701614526954142,0.701614526954142,0.24281312168114047,0.05557235136471763
81,Nakashipara,Nadia,GEN,All India Trinamool Congress,0.7764950161431463,0.7764950161431463,0.19731106561876738,0.026193918238086374
293,Nalhati,Birbhum,GEN,All India Trinamool Congress,0.867966468803705,0.867966468803705,0.10752337912303692,0.024510152073258143
207,Nandakumar,Purba Medinipur,GEN,Bharatiya Janta Party,0.4918486187872249,0.47447384124995623,0.4918486187872249,0.03367753996281896
210,Nandigram,Purba Medinipur,GEN,Bharatiya Janta Party,0.7803376049763323,0.1899118967384407,0.7803376049763323,0.0297504982852268
287,Nanoor,Birbhum,SC,Bharatiya Janta Party,0.7899447215900991,0.19597751066513108,0.7899447215900991,0.014077767744769912
74,Naoda,Murshidabad,GEN,All India Trinamool Congress,0.7980348854759161,0.7980348854759161,0.173437752094697,0.02852736242938699
225,Narayangarh,Paschim Medinipur,GEN,All India Trinamool Congress,0.7097235985795676,0.7097235985795676,0.27297923544317504,0.017297165977257455
8,Natabari,Koch Bihar,GEN,Bharatiya Janta Party,0.9935028540989966,0.003978221386042143,0.9935028540989966,0.0025189245149612556
