AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
69,Bharatpur,Murshidabad,GEN,All India Trinamool Congress,0.98969907,0.98969907,0.7941019493347206,0.009162949,0.1980601451122618,0.0011380448,0.0078379055530175,Mustafizur Rahaman (Sumon),??????? ??????? ??? (Smt. Anamika Ghosh),Azharudddin Sizar,,0,0
267,Bhatar,Barddhaman,GEN,All India Trinamool Congress,0.99965966,0.99965966,0.9914971764943896,0.00030788744,0.0082265929863591,3.244627e-05,0.0002762305192513,Shantanu Koner,???? ????? ???? (Shri Soumen Karfa),Dhurjati Bijoy Maji,HASINA KHATOON,0,0
105,Bhatpara,North Twenty Four Parganas,GEN,Bharatiya Janta Party,0.83271694,0.15758769,0.0085630753270886,0.83271694,0.9873670205460938,0.00969542,0.0040699041268173,Amit Gupta,???? ??? ????? ???? (Shri Pawan Kumar Singh),Dharmendra Shaw,,0,0
116,Bidhannagar,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.97481155,0.97481155,0.6537539159807247,0.0163479,0.2953550039527551,0.008840574,0.05089108006652,Sujit Bose,??. ?????? ??????????? (Dr. Sharadwat Mukhopadhyay),Ranajit Mukherjee,ADV. SOUMYAJIT RAHA,0,0
103,Bijpur,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9294251,0.9294251,0.3926098347935475,0.04533098,0.5158585217094567,0.025243927,0.0915316434969959,Subodh Adhikary,???? ???????? ??? (Shri Sudipta Das),Sibabrata Guha Roy,DEBASISH RAKSHIT,0,0
237,Binpur,Paschim Medinipur,ST,All India Trinamool Congress,0.9987343,0.9987343,0.9698224599127722,0.0011011807,0.0288064398032906,0.00016449753,0.0013711002839372,,,,,0,0
146,Bishnupur (SC),South  Twenty Four Parganas,SC,All India Trinamool Congress,0.99772114,0.99772114,0.9621469819433588,0.0010727795,0.027869645024657,0.0012060838,0.0099833730319841,Dilip Mondal,???? ?????? ????? (Shri Abhijit Sardar),Arghya Naskar,SHYAMAL DAL,0,0
255,Bishnupur,Bankura,SC,Bharatiya Janta Party,0.9573606,0.041307304,0.0019724509294356,0.9573606,0.9975361645892912,0.0013320852,0.000491384481273,Tanmoy Ghosh,??????? ?????? ?????? (Smt. Shukla Chatterjee),Ujjal Chandra,,0,0
286,Bolpur,Birbhum,GEN,All India Trinamool Congress,0.99512047,0.99512047,0.8956075725139764,0.0040373183,0.0978867277975184,0.0008421401,0.0065056996885051,Chandranath Sinha,???? ????? ????? ??? (Shri Dilip Kumar Ghosh),Rathin Sen,,0,0
156,Budge Budge,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9997867,0.9997867,0.994957433305641,0.00017625591,0.0047253018650487,3.714131e-05,0.0003172648293102,Ashok Kumar Deb,??. ???? ????? ???? (Dr. Tarun Kumar Adak),Mujibar Rahaman Kayal,,0,0
67,Burwan,Murshidabad,SC,All India Trinamool Congress,0.9378258,0.9378258,0.3918002473933337,0.050236247,0.5653904133571148,0.0119379135,0.0428093392495514,,,,,0,0
138,Canning Paschim,South  Twenty Four Parganas,SC,All India Trinamool Congress,0.9971233,0.9971233,0.9336701120429064,0.002513963,0.063415029271204,0.00036266475,0.0029148586858896,,,,,0,0
139,Canning Purba,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9769082,0.9769082,0.7536194030524803,0.006601158,0.1371851706700664,0.01649068,0.1091954262774531,Md. Baharul Islam,???? ???? ???? (Shri Ashim Sapui),Sabir Ali Sardar,,0,0
91,Chakdaha,Nadia,GEN,Bharatiya Janta Party,0.92923975,0.06938457,0.0034084038513291,0.92923975,0.9960695595320674,0.0013756335,0.0005220366166034,Subhankar Singha (Jishu),???? ????? ????? ??? (Shri Bankim Chandra Ghosh),Malay Saha,NARAYAN DASGUPTA,0,0
31,Chakulia,Uttar Dinajpur,GEN,All India Trinamool Congress,0.98541915,0.98541915,0.7711281922137481,0.00911521,0.1921591130378316,0.0054656663,0.0367126947484204,Minhajul Arfin Azad,???? ???? ??? (Shri Manoj Jain),Ali Imran Ramz (Victor),AMJAD ALI,0,0
187,Champdani,Hugli,GEN,All India Trinamool Congress,0.993526,0.993526,0.8641771417481032,0.005479589,0.128398587647083,0.0009944036,0.0074242706048138,Arindam Guin,???? ????? ???? (Shri Dilip Singh),Pritam Ghosh,ADV. CHANDRANATH BANERJEE,0,0
45,Chanchal,Maldah,GEN,All India Trinamool Congress,0.99065053,0.99065053,0.8040685265978613,0.008778954,0.1919570574032518,0.00057047047,0.0039744159988868,Prasun Banerjee,???? ??? ??? (Shri Ratan Das),Asif Mehbub,ANAWARUL HAQUE,0,0
189,Chandannagar,Hugli,GEN,All India Trinamool Congress,0.9983719,0.9983719,0.9666326142098216,0.00111613,0.0291120373899917,0.0005120336,0.0042553484001864,Indranil Sen,???? ??????? ????? ???? (Shri Deepanjan Kumar Guha),Ratan Kumar Goldar,MANISH PANDA,0,0
