AC_Number,Constituency_Name,District,Type,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,P_All India Trinamool Congress_baseline,P_All India Trinamool Congress_calibrated,P_Bharatiya Janta Party_baseline,P_Bharatiya Janta Party_calibrated,P_OTHER_baseline,P_OTHER_calibrated,Candidate_AITC,Candidate_BJP,Candidate_INC,Candidate_LF,Candidate_Placeholder,Candidate_Present
211,Chandipur,Purba Medinipur,GEN,All India Trinamool Congress,0.96803033,0.96803033,0.5370678519438573,0.030507464,0.4559686914262124,0.0014622348,0.0069634566299302,Uttam Barik,??? ????? ????? ??? (Dr. Piyush Kanti Das),SK Taslim Ahmed,RITA DAS,0,0
194,Chanditala,Hugli,GEN,All India Trinamool Congress,0.9989417,0.9989417,0.9776266033626708,0.0007505686,0.0197884593813685,0.00030771564,0.0025849372559605,Swati Khandoker,???? ??????? ??????? (Shri Debasish Mukherjee),Sk Abu Abbasuddin,SK. ASIF ALI,0,0
232,Chandrakona,Paschim Medinipur,SC,All India Trinamool Congress,0.6606054,0.6606054,0.0685253868702712,0.33049238,0.9235481674731016,0.008902286,0.0079264456566271,,,,,0,0
82,Chapra,Nadia,GEN,All India Trinamool Congress,0.9698636,0.9698636,0.5481150611888225,0.029467972,0.4486421238525391,0.00066848786,0.0032428149586383,Jeber Sekh,???? ???? ????? (Shri Saikat sarkar),Rahidul Mandal,,0,0
248,Chhatna,Bankura,GEN,Bharatiya Janta Party,0.9898093,0.009652744,0.0004466300657482,0.9898093,0.9993610967287232,0.00053791236,0.0001922732055284,Swapan Kumar Mandal,???? ?????????? ??????????? (Shri Satyanarayan Mukhopadhyay),Partha Pratim Bose,RAJIB KAR,0,0
28,Chopra,Uttar Dinajpur,GEN,All India Trinamool Congress,0.72440284,0.72440284,0.0896221408841144,0.27200252,0.9065605598688548,0.003594624,0.0038172992470307,Hamidul Rahaman,???? ???? ??????? (Shri Shankar Adhikari),Zakir Abedin,,0,0
162,Chowrangee,Kolkata,GEN,All India Trinamool Congress,0.99863523,0.99863523,0.9723485724747352,0.0009089339,0.0238416398261256,0.00045584596,0.0038097876991391,Nayna Bandopadhyay,???? ????? ???? (Shri Santosh Pathak),Manash Sarkar,SANJOY BASU,0,0
190,Chunchura,Hugli,GEN,All India Trinamool Congress,0.87149054,0.87149054,0.2139271886340362,0.114361815,0.7562633767985624,0.014147603,0.0298094345674013,Debangshu Bhattacharya,???? ????? ??? (Shri Subir Nag),Moinul Haque,SUNIL SAHA,0,0
4,Cooch Behar Dakshin,Koch Bihar,GEN,All India Trinamool Congress,0.5370764,0.5370764,0.0440286454895715,0.4188155,0.924933960304649,0.044108108,0.0310373942057793,,,,,0,0
3,Coochbehar Uttar,Koch Bihar,SC,Bharatiya Janta Party,0.9907212,0.0073228264,0.0003383787811318,0.9907212,0.9989634119076928,0.0019559204,0.0006982093111751,,,,,0,0
19,Dabgram-Fulbari,Jalpaiguri,GEN,Bharatiya Janta Party,0.9866463,0.0075609377,0.0003503373840837,0.9866463,0.9975761495665556,0.0057927645,0.0020735130493606,,,,,0,0
219,Dantan,Paschim Medinipur,GEN,All India Trinamool Congress,0.9212969,0.9212969,0.305267704424866,0.077421844,0.6910882126137063,0.0012812664,0.0036440829614277,Manik Maity,???? ???? ????? ??? (Shri Ajit Kumar Jana),Utpal Dutta,SHYAMAL KANTI DAS PATTANAYEK,0,0
23,Darjeeling,Darjiling,GEN,Bharatiya Janta Party,0.9934087,0.0033700615,0.0001552638711034,0.9934087,0.9986982416375614,0.0032212862,0.0011464944913352,*********,???? ???? ??? (Shri Noman Rai),Madhap Rai,,0,0
230,Daspur,Paschim Medinipur,GEN,All India Trinamool Congress,0.8121165,0.8121165,0.1410459788730453,0.18157597,0.8495510313915796,0.006307482,0.009402989735375,Asis Hudait,???? ??? ????? (Shri Tapan Dutta),Kousik Goswami,RANJIT PAL,0,0
229,Debra,Paschim Medinipur,GEN,All India Trinamool Congress,0.9622678,0.9622678,0.4907159806828435,0.03676218,0.5050382004675853,0.000969973,0.0042458188495711,Rajib Banerjee,???? ??????? ?? (Shri Shubhashish Om),Chittaranjan Jana,SUMIT ADHIKARY,0,0
120,Deganga,North Twenty Four Parganas,GEN,All India Trinamool Congress,0.9988016,0.9988016,0.9749185576477674,0.00083945127,0.0220736078107008,0.00035900233,0.0030078345415318,Anisur Rahaman (Bidesh),???? ???? ????? ??? (Shri Tarun Kanti Ghosh),Miaraj Baidya,,0,0
197,Dhanekhali,Hugli,SC,All India Trinamool Congress,0.971618,0.971618,0.574687987541608,0.025901861,0.4127207077071836,0.0024800852,0.0125913047512085,,,,,0,0
15,Dhupguri,Jalpaiguri,SC,Bharatiya Janta Party,0.9793052,0.008515527,0.0003965879346511,0.9793052,0.9952215475454724,0.01217926,0.0043818645198764,,,,,0,0
143,Diamond Harbour,South  Twenty Four Parganas,GEN,All India Trinamool Congress,0.9860043,0.9860043,0.7865774083412727,0.008030157,0.1725740215649235,0.005965497,0.0408485700938038,Pannalal Halder,???? ???? ????? ????? (Shri Dipak Kumar Halder),Goutam Bhattacharya,SAMARENDRA NATH NAIYA,0,0
7,Dinhata,Koch Bihar,GEN,Bharatiya Janta Party,0.99089605,0.005373454,0.0002481221135615,0.99089605,0.9984211590326206,0.0037304764,0.0013307188538177,Udayan Guha,???? ??? ??? (Shri Ajay Roy),Harihar Ray Singha,BIKASH MONDAL,0,0
