AC_Number,Constituency_Name,District,Margin_Pct,total_squeeze_pct,Predicted_Winner_baseline,Predicted_Winner_Prob_baseline,Predicted_Winner_adjusted,Predicted_Winner_Prob_adjusted
42,Harirampur,Dakshin Dinajpur,12.2,0.1999999999999999,All India Trinamool Congress,0.8563368080842767,All India Trinamool Congress,0.7004598802688469
41,Gangarampur,Dakshin Dinajpur,2.4,0.1999999999999999,Bharatiya Janta Party,0.983879663961364,Bharatiya Janta Party,0.9845323279144216
38,Kumarganj,Dakshin Dinajpur,17.3,0.1999999999999999,All India Trinamool Congress,0.6896968643990777,All India Trinamool Congress,0.5695694860673252
37,Kushmandi,Dakshin Dinajpur,6.9,0.1999999999999999,Bharatiya Janta Party,0.5034828676452174,Bharatiya Janta Party,0.5520020697494001
274,Galsi,Barddhaman,8.7,0.16,All India Trinamool Congress,0.9773941119156232,All India Trinamool Congress,0.8290320034409399
277,Durgapur Paschim,Barddhaman,7.5,0.16,Bharatiya Janta Party,0.9902031785506364,Bharatiya Janta Party,0.990778852899099
281,Asansol Uttar,Barddhaman,11.1,0.16,Bharatiya Janta Party,0.5407850984874897,Bharatiya Janta Party,0.5788604943876474
279,Jamuria,Barddhaman,4.9,0.16,All India Trinamool Congress,0.7512831655498561,All India Trinamool Congress,0.6439187169895502
262,Jamalpur,Barddhaman,8.8,0.16,All India Trinamool Congress,0.9713491564835764,All India Trinamool Congress,0.8241330458876615
264,Kalna,Barddhaman,3.6,0.16,All India Trinamool Congress,0.7212659759878356,All India Trinamool Congress,0.6190521273111613
273,Ausgram,Barddhaman,5.5,0.16,All India Trinamool Congress,0.5792477288011354,All India Trinamool Congress,0.5004573223435957
261,Raina,Barddhaman,8.0,0.16,All India Trinamool Congress,0.8982406843387852,All India Trinamool Congress,0.7646686175034635
280,Asnsol Dakshin,Barddhaman,2.3,0.16,Bharatiya Janta Party,0.9954304631204278,Bharatiya Janta Party,0.9956508712584486
269,Purbasthali Uttar,Barddhaman,3.2,0.16,All India Trinamool Congress,0.9581180396940236,All India Trinamool Congress,0.8134007887275928
260,Burdwan Dakshin,Barddhaman,4.0,0.16,All India Trinamool Congress,0.5493169743671192,Bharatiya Janta Party,0.4918350662573778
283,Barabani,Barddhaman,14.1,0.16,All India Trinamool Congress,0.9114231767893968,All India Trinamool Congress,0.7754204450509469
265,Memari,Barddhaman,10.6,0.16,All India Trinamool Congress,0.993479138575816,All India Trinamool Congress,0.8420544267426414
272,Mongalkote,Barddhaman,10.5,0.16,All India Trinamool Congress,0.9941173019892146,All India Trinamool Congress,0.8425706874369802
267,Bhatar,Barddhaman,15.1,0.16,All India Trinamool Congress,0.9957453846710422,All India Trinamool Congress,0.8438876351305019
282,Kulti,Barddhaman,0.4,0.16,Bharatiya Janta Party,0.9950897383161258,Bharatiya Janta Party,0.9953444918161284
270,Katwa,Barddhaman,4.1,0.16,All India Trinamool Congress,0.9144537844290664,All India Trinamool Congress,0.7778904088186759
271,Ketugram,Barddhaman,6.0,0.16,All India Trinamool Congress,0.9822301883540688,All India Trinamool Congress,0.8329493055031914
259,Khandaghosh,Barddhaman,9.7,0.16,All India Trinamool Congress,0.9450872637967248,All India Trinamool Congress,0.8028182898875347
