Year,AC_Number,Candidate,Criminal_Cases,Serious_Criminal_Cases,Facebook_Followers,X_Followers,Instagram_Followers,YouTube_Subscribers,Google_Trends_Index
2021,148,Md. Nawsad Siddique,0,0,0,0,0,0,0
2021,69,Humayun Kabir,10,1,0,0,0,0,0
2021,267,Adhikari Mangobinda,11,1,0,0,0,0,0
2021,105,Pawan Kumar Singh,12,1,0,0,0,0,0
2021,116,Sujit Bose S/o - Late Ajit Bose,0,0,0,0,0,0,0
2021,103,Subodh Adhikary,0,1,0,0,0,0,0
2021,237,Debnath Hansda,0,0,0,0,0,0,0
2021,146,Dilip Mondal,1,1,0,0,0,0,0
2021,255,Tanmay Ghosh (BUMBA),0,0,0,0,0,0,0
2021,286,Sinha Chandranath,0,0,0,0,0,0,0
2021,156,Ashok Kumar Deb,1,1,0,0,0,0,0
2021,67,Jiban Krishna Saha,0,0,0,0,0,0,0
2021,138,Paresh Ram Das,0,0,0,0,0,0,0
2021,139,Saokat Molla,0,0,0,0,0,0,0
2021,91,Bankim Chandra Ghosh,0,0,0,0,0,0,0
2021,31,Azad Minhajul Arfin,0,0,0,0,0,0,0
2021,187,Arindam Guin (BUBAI),0,0,0,0,0,0,0
2021,45,Nihar Ranjan Ghosh,2,1,0,0,0,0,0
2021,189,Indranil Sen,0,0,0,0,0,0,0
2021,211,Soham Chakraborty,0,0,0,0,0,0,0
2021,194,Swati Khandoker,0,0,0,0,0,0,0
2021,232,Arup Dhara,0,0,0,0,0,0,0
2021,82,Rukbanur Rahman,0,0,0,0,0,0,0
2021,248,Satyanarayan Mukhopadhyay,0,0,0,0,0,0,0
2021,28,Hamidul Rahaman,3,1,0,0,0,0,0
2021,162,Bandyopadhyay Nayna,2,1,0,0,0,0,0
2021,190,Asit Mazumder (Tapan),1,1,0,0,0,0,0
2021,4,Nikhil Ranjan Dey,0,0,0,0,0,0,0
2021,3,Sukumar Roy,0,0,0,0,0,0,0
2021,19,Sikha Chatterjee,6,0,0,0,0,0,0
2021,219,Bikram Chandra Pradhan,0,1,0,0,0,0,0
2021,23,Neeraj Tamang Zimba,8,1,0,0,0,0,0
2021,230,Mamata Bhunia,0,0,0,0,0,0,0
2021,229,Humayun Kabir,0,0,0,0,0,0,0
2021,120,Rahima Mondal,0,0,0,0,0,0,0
2021,197,Asima Patra,0,0,0,0,0,0,0
2021,15,Bishnu Pada Ray,0,0,0,0,0,0,0
2021,143,Pannalal Halder,0,0,0,0,0,0,0
2021,7,Nisith Pramanik,13,1,0,0,0,0,0
2021,184,Kalyan Ghosh,2,1,0,0,0,0,0
2021,75,Jafikul Islam,0,0,0,0,0,0,0
2021,284,Anup Kumar Saha,0,0,0,0,0,0,0
2021,114,Brtya Basu,0,0,0,0,0,0,0
2021,110,Chandrima Bhattacharya,0,0,0,0,0,0,0
2021,277,Lakshman Chandra Ghorui,11,1,0,0,0,0,0
2021,276,Pradip Mazumdar,0,0,0,0,0,0,0
2021,218,Tarun Kumar Maity,0,0,0,0,0,0,0
2021,51,Sreerupa Mitra Chaudhury(NIRBHOY DIDI),0,0,0,0,0,0,0
2021,163,Swarna Kamal Saha,0,0,0,0,0,0,0
2021,13,Dipak Barman,0,0,0,0,0,0,0
2021,144,Sankar Kumar Naskar,0,0,0,0,0,0,0
2021,55,Manirul Islam,1,1,0,0,0,0,0
